,Reviews,Label
1,The staff is very attentive to all needs. From doorman to concierge to front desk. Rita & Annie were very nice. It’s lovely to go to a hotel that when you show up the next week they welcome you back like a permanent resident! Thanks Team for making me feel like family!,Real
2,"Best hotel in Vancouver for price range. Most modern and well built hotel rooms. State of the art. No expense spared... sort of like his presidential campaign I guess. Service was second to none, probably some of the best I've experience throughout the world of travelling and staying at 5 star hotels. Location is spot on for brief trips to vancouver or business travel. House Car service was valuable for us. Very generous with early check in and late check out too. Would stay again and would also look favorably towards booking within this chain around the world now as a result of our experience / stay.",Real
3,"I cant say enough good things about this establishment. It is by far the best hotel i have stayed at in vancouver, all the amenities are flawless. The staff is flawless and knowledgeable. Very little room for improvement over all.  The only hotels that can compete in this city were always atleast 100 dollars more per night. If the name on the front door turns you away.grow up and realize that is getting in the way of the best weekend youve ever had in vancouver.",Real
4,Best hotel we’ve ever been to the staff are so nice and welcoming DONT make you feel out of place even though we were probably the youngest people there. The bed was the comfiest bed I’ve ever slept on.,Real
5,"It is a nice hotel, but nothing special. I do not think it is worth the money, the Mott 32 restaurant breakfast is $42 per person and you can eat better at Mcdonalds. Most of the staff do not speak good English and they are hard to understand.",Real
6,"Excellent customer experience. Hotel staff was friendly and extremely knowledgeable and helpful. From the front desk when checking in to the time of check out the service was impeccable. Prior to check in our vehicle was valet parked, we had high tea in the champagne lounge which was absolutely a treat and staff once again knowledgeable. Our room was much larger to what one we have experienced when travelling and room was spotless, full the most up to date technology and just what we needed to relax for a few nights before departing home, The hotel is central in the city of Vancouver and a our first time to the city we were central and near to  some beautiful restaurants and coffee shops. Thank you to Brent who recommend the hotel. A first class experience. The only downside if",Real
7,Trump Tower delivered on all aspects of my stay. I must admit this was one of my best hotel stays to date. I hope Trump Tower hotels are available for more of my travel needs throughout the rest of 2020.,Real
8,"The impression of the hotel was excellent from beginning.  I drove a rented vehicle to arrive the hotel for check-in.  The valet parking staff was very friendly and helpful.  The staff from housekeeping, in-room dining, Mott 32 and the lounge were doing a perfect job. I will stay there again.",Real
9,Beautiful Hotel in a perfect position in downtown . Very big and well furnished room. Spectacular view. Good in-room service. Very beautiful SPA with a wonderful party pool. Excellent service. Worth the price.,Real
10,"Top to bottom,  they are an excellent study in :""team work"".   From Mr. Frasier that greeted us out front, to the dinning Room staff,  the daily room attendants,  the room service, to the work-out gym attendants,  they all are highly trained, pleasant folks to interact with. They are the epitome of ""Team Work"".",Real
11,We loved this hotel and stayed twice over the last year.  Incredibly clean and inviting!   The staff so polite and welcoming!  The location is perfect and also close to the water!   Absolutely one of our favorite hotels to stay!,Real
12,Very professional staff  Classy and efficients Cocktail and breakfast excellent  Not to mention rooms modern luxury with all raffinements and domotic  you are entitled to have in this kind of hotel Congrats,Real
13,This place is first class! Every detail has been thought about! Super professional & friendly staff! Great valet service for the car! The swimming pool and spa was fantastic! The heated floors in the room were a big plus! The views from the 18th floor were breathtaking! The beds were the best! This is a 5 star place!,Real
14,"My wife and I stayed at the hotel as a treat for her birthday! Overall we loved it. The room was clean and had a lot of nice touches. The shades and blinds are electric. The television was huge. There is a shower cap in the room in one of the little boxes. If you open it, it also has a hair tie which we thought was a nice touch that most companies don’t think of. The amentity bottles are large. We found the bed very comfortable but the pillows were too soft. We couldn’t fold them enough to make them firm. The Only cleanliness issue was the water glasses. It seemed that they had toothpaste residue from a previous guest. The turn down attendant and the in room dining server were both very nice. We had only ordered dessert but the flavours were fantastic and the plating was",Real
15,Great hotel for seeing Vancouver. Super location close to shops and waterfront. Exceptional service from checking in staff. Very helpful and friendly- important in a city hotel. Good advice on how to spend our time in the city.,Real
16,We booked the Trump hotel and enjoyed of our selection. They have perfect stuff. The internet was excellent. Foods were delicious with best quality. Services were excellent. They cleaned the room twice a day. They  charged mini bar everyday. Tank you.,Real
