Reviews,Label
"Excellent hotel and staff close to Times Square. Our room was equipped with everything we needed plus garment bags, slippers, Robes, fabric travel bags etc. coffee was a quick hop down the elevator. We had an amazing sushi restaurant and night club on site and we’re a 5 minute walk to Times Square. The staff were so polite and helpful and saved us $500 USD on our Covid tests by pointing us in the right direction to free same day tests to get back to Canada. I’d stay here again for my next NY trip.",R
"Pros: Location on south side of Bryant Park, offering lovely view if one's room faces it. The view - and proximity to the park and all things midtown - is pretty exceptional for NYC, meeting if not exceeding our high expectations. Renovated hallways & rooms. Spa-like bathroom: large shower with fixed & handheld shower heads, quality tiling, large soaking tub & well-lit vanity. CLEAN! Coffee & muffins available in the morning near reception. Well-themed cocktail lounge named Celon within hotel. Cons: Bed mattress could have been more supportive. FYI: 1) Very modern, minimalistic decor within rooms. 2) Obviously like all hotels at this time, some service aspects (e.g., reception area that is utilized) are adapted, but this did not impact our experience.",R
"My ‘Go To’ favorite hotel in New York! Why? Boutique hotel with very helpful, professional and friendly staff. Excellent location directly across the street from Bryant Park and the NY City Library in Midtown. Beautiful, spacious Junior Suite with huge windows overlooking the park (my room was 607). Huge shower and separate bath. Great hot water and water pressure. By far best hotel room I’ve ever had in NYC. Of course, it was a junior suite. Firm but comfortable bed. Excellent A/C. Spotlessly clean room. Thanks to all the guys at the front desk who were so help as well as the housekeeping staff who do such a great job! I look forward to seeing you again soon.",R
"I have been wanting to stay at The Bryant Park Hotel Forever. 3 of our trips were cancelled during 2020 so I was so excited about finally being able to stay there. The experience from start to finish was beyond our expectations. The hotel is beautiful and we were very comfortable in our room. It was very spacious and the decor and feel of the room created a great environment. The location is perfect - Bryant Park at your front door, wonderful restaurants surrounding the hotel, subway a quick walk away, stores (Walgreens etc) conveniently close. Our favorite thing about The Bryant Park Hotel were the incredible employees though. From the booking to the check out, they made every interaction fun and personable. It was an instant connection with them. Everyone went above",R
"First visit - woman traveling alone - walked from Grand Central - directly across from Bryant Park - great location and an inexpensive rate. Front desk is literally a desk located just inside the entrance. Restaurant to the right and cocktail lounge to the left. Elevators are dark and small and paneled in red pleather. Whole property is a bit dated - has seen better days. Queen sized room was a decent size for NYC. Sofa, table, side table. Big closet. During non-pandemic times, there seems to be an honor bar. No coffee maker, no microwave. No iron. Big bathroom with rain shower head. Furniture has seen better days. Worn. Comfortable bed. Good towels. Very quiet on a Wednesday night. Ask for the security key fob if you'll be out past 11pm.",R
"Wonderful hotel! Amazing location and even better service. Danny at the front desk was so friendly and made me feel very welcome. The rooms are really clean, with comfortable beds and sleek bathrooms.",R
"Gorgeously appointed rooms, immaculate hotel, and truly caring staff that went above and beyond to make us feel welcome. Miguel and Scott, thanks for taking care of our reservation change of the wonderful upgrade to celebrate my husband’s birthday. We will return for sure.",R
"Staff were very helpful and professional. The rooms were really lovely, clean, comfortable and beyond my expectations. The location is perfect for a weekend in the city and I would highly recommend it.",R
"From the minute you arrive you are made to feel welcome. We were greeted by the smiles of Job & Sarah at the front desk. The Bryant Park Hotel was a wonderful choice for a weekend get away. The rooms are beautiful, love the beds,the view of the park and perhaps the best shower ever. The location is great for walking and close to Broadway, Public Library,& of course the park. Angel at The Celon Bar (a beautiful spot for cocktails & dancing) was a treat not only for his drinks but also his singing. We had breakfast at Koi and the food was delicious and Kelvin provided amazing service for our table of 7.A special thank you to Darren Sumner for his personal attention in putting this together for us. Bryant Park Hotel super special! Donna and Guillermo Chacon",R
"When we arrived in our room, there was a bad odor. When I called the front desk, they responded immediately and resolved it by upgrading our room, even though we were able to trace the source of the smell and remove it. They couldn't have been more gracious. They also helped me to plan for a 75th Birthday by getting flowers and champagne etc in the room, and they even left a little gift. The bed was possibly the best ever from any hotel we've ever stayed in, including Four Seasons etc. The only drawback to a good night's sleep was that the room darkening shades were not. There was plenty of ambient light that got through. The bathroom was large and the shower was glorious. The only drawback here is that for two people, there was not enough countertop space for toiletries. I",R
"Such a wonderful spot to visit. Lots of people around, but that's NYC! Everyone was so helpful and the hotel was very clean! Have to compliment the bartenders! They made great drinks and were so friendly!",R
"We live in Connecticut and visit our son, his wife and our wonderful granddaughter frequently. Typically we stay at the hotel with the best deal. This weekend and last we had a great experience at the Bryant Park Hotel. The rooms and bathrooms are exceptionally large for New York. A park view is fantastic. They have free water, turndown service and a very friendly staff. We will be back.",R
"As always the Bryant Park Hotel is the perfect NYC hotel. It is a short walk from Penn Station, a short walk to Times Square and in the Winter it is right outside the Winter Wonderland at Bryant Park. The hotel is great and helped us celebrate our 20th anniversary with Champagne and Chocolates. Thanks for a great Stay!",R
The Bryant Park hotel is a luxury hotel and it is overlooking Bryant Park. The service is perfect and the prices are... almost reasonable. Perfect place. The Koi restaurant who also provide breakfast (not to par with nearby places) is an excellent place to lunch or diner.,R
"The Bryant Park Hotel is my go-to hotel in NYC. It's not a chain, it's a cool indie, in a great location, with super staff, perfectly sized comfortable rooms and very clean bedding. But have breakfast at the Mayson Kaiser a few doors down, it's so good. I've put up business guests there as well, and everyone loves it.",R
"Fabulous location, charming hotel, I’ve stayed here before in one of the smaller rooms they are petite but very well-designed, we had one of those booked but the manager Miguel gave us an upgrade to a deluxe queen with a view, which was SUCH a treat, sheer luxury! The staff is so friendly and helpful and I also love that this hotel does not have carpeting in the rooms, very good for people with asthma or allergies.",R
