Unnamed: 0,Reviews,Label
1.0,The staff is very attentive to all needs. From doorman to concierge to front desk. Rita & Annie were very nice. It’s lovely to go to a hotel that when you show up the next week they welcome you back like a permanent resident! Thanks Team for making me feel like family!,Real
2.0,"Best hotel in Vancouver for price range. Most modern and well built hotel rooms. State of the art. No expense spared... sort of like his presidential campaign I guess. Service was second to none, probably some of the best I've experience throughout the world of travelling and staying at 5 star hotels. Location is spot on for brief trips to vancouver or business travel. House Car service was valuable for us. Very generous with early check in and late check out too. Would stay again and would also look favorably towards booking within this chain around the world now as a result of our experience / stay.",Real
3.0,"I cant say enough good things about this establishment. It is by far the best hotel i have stayed at in vancouver, all the amenities are flawless. The staff is flawless and knowledgeable. Very little room for improvement over all.  The only hotels that can compete in this city were always atleast 100 dollars more per night. If the name on the front door turns you away.grow up and realize that is getting in the way of the best weekend youve ever had in vancouver.",Real
4.0,Best hotel we’ve ever been to the staff are so nice and welcoming DONT make you feel out of place even though we were probably the youngest people there. The bed was the comfiest bed I’ve ever slept on.,Real
5.0,"It is a nice hotel, but nothing special. I do not think it is worth the money, the Mott 32 restaurant breakfast is $42 per person and you can eat better at Mcdonalds. Most of the staff do not speak good English and they are hard to understand.",Real
6.0,"Excellent customer experience. Hotel staff was friendly and extremely knowledgeable and helpful. From the front desk when checking in to the time of check out the service was impeccable. Prior to check in our vehicle was valet parked, we had high tea in the champagne lounge which was absolutely a treat and staff once again knowledgeable. Our room was much larger to what one we have experienced when travelling and room was spotless, full the most up to date technology and just what we needed to relax for a few nights before departing home, The hotel is central in the city of Vancouver and a our first time to the city we were central and near to  some beautiful restaurants and coffee shops. Thank you to Brent who recommend the hotel. A first class experience. The only downside if",Real
7.0,Trump Tower delivered on all aspects of my stay. I must admit this was one of my best hotel stays to date. I hope Trump Tower hotels are available for more of my travel needs throughout the rest of 2020.,Real
8.0,"The impression of the hotel was excellent from beginning.  I drove a rented vehicle to arrive the hotel for check-in.  The valet parking staff was very friendly and helpful.  The staff from housekeeping, in-room dining, Mott 32 and the lounge were doing a perfect job. I will stay there again.",Real
9.0,Beautiful Hotel in a perfect position in downtown . Very big and well furnished room. Spectacular view. Good in-room service. Very beautiful SPA with a wonderful party pool. Excellent service. Worth the price.,Real
10.0,"Top to bottom,  they are an excellent study in :""team work"".   From Mr. Frasier that greeted us out front, to the dinning Room staff,  the daily room attendants,  the room service, to the work-out gym attendants,  they all are highly trained, pleasant folks to interact with. They are the epitome of ""Team Work"".",Real
11.0,We loved this hotel and stayed twice over the last year.  Incredibly clean and inviting!   The staff so polite and welcoming!  The location is perfect and also close to the water!   Absolutely one of our favorite hotels to stay!,Real
12.0,Very professional staff  Classy and efficients Cocktail and breakfast excellent  Not to mention rooms modern luxury with all raffinements and domotic  you are entitled to have in this kind of hotel Congrats,Real
13.0,This place is first class! Every detail has been thought about! Super professional & friendly staff! Great valet service for the car! The swimming pool and spa was fantastic! The heated floors in the room were a big plus! The views from the 18th floor were breathtaking! The beds were the best! This is a 5 star place!,Real
14.0,"My wife and I stayed at the hotel as a treat for her birthday! Overall we loved it. The room was clean and had a lot of nice touches. The shades and blinds are electric. The television was huge. There is a shower cap in the room in one of the little boxes. If you open it, it also has a hair tie which we thought was a nice touch that most companies don’t think of. The amentity bottles are large. We found the bed very comfortable but the pillows were too soft. We couldn’t fold them enough to make them firm. The Only cleanliness issue was the water glasses. It seemed that they had toothpaste residue from a previous guest. The turn down attendant and the in room dining server were both very nice. We had only ordered dessert but the flavours were fantastic and the plating was",Real
15.0,Great hotel for seeing Vancouver. Super location close to shops and waterfront. Exceptional service from checking in staff. Very helpful and friendly- important in a city hotel. Good advice on how to spend our time in the city.,Real
16.0,We booked the Trump hotel and enjoyed of our selection. They have perfect stuff. The internet was excellent. Foods were delicious with best quality. Services were excellent. They cleaned the room twice a day. They  charged mini bar everyday. Tank you.,Real
17.0,"Very modern, quite large room with all buttons operated 😁To open the curtains, to turn on/off the lights and tv, with very beautiful touchscreen panel. Quite interesting experience. Very good location. Beautiful view from our big windows. Just minutes walk to the famous Robson street. It’s worth to try! Thank you for the wonderful stay experiences with you! All the best!",Real
18.0,"We went for the night expecting the worst. Just for fun. Everyone was so nice and chill. It is very expensive. But we have been back and will certainly be returning. It is fancy, but not snobby. The pool is awsome. The bath tub in the room is also great.",Real
19.0,This was an amazing hotel experience. The Trump hotel brand we experienced was incredible and there were no pictures of Donald Trump or retail shops selling MAGA/KAG gear. The service was the best we have ever had and people of all nationalities and ethnicities were enjoying their stay in the most sophisticated building in downtown Vancouver. NO politics just amazing service!!! Any other hotel in Vancouver would be unthinkable.,Real
20.0,I wish all hotels were run so professional like Trump Hotel Vancouver. The place is spotless! All of the staff was so friendly and willing to help or answer questions. They didn’t avoid guests like some places,Real
21.0,"Firstly, although we have had several stays in Trump hotels that have been wonderful, this last one seemed lacking in what is expected to be a luxury hotel as noted in the 3 star review. My husband and I have stayed in this particular Trump hotel once before, as well as Trump SoHo previously. We absolutely loved the level of service, amenities, and luxury accommodations. However, we were left disappointed this last stay when we came for one night on our way hone from Whistler. We got there early at 2:00 and were told our room would not be ready until check in which is officially 3:00. This was fine, so we ate at their on site Chinese restaurant (fantastic food!) and came back at 3:00. The suite was still not ready, we were told they would call us when it was (they had double",Real
22.0,"Trump hotels and resorts always do it best. Our stay in Trump International Hotel & Tower Vancouver was awesome. The room we stayed in are fabulous, spotlessly clean, spacious, ample of sunlight, well lit and so high tech! Turndown service is rare these days, but not with the Trumps - kids love the surprises. The hotel bars and restaurants are awesome too - good food and drinks. We had the Oyster and Champagne Happy Hour - highly recommended! We love the pool - it was great and it is different - worth checking out. Interactions with the hotel staff were all pleasant, but one staff in particular - Annie, was top notch in her customer service, communication and resolution skills (we're very impressed!). Location of the hotel is good, close to the shopping area with plenty of great",Real
23.0,A very delightful stay.  The best service and very friendly and patient employees.  They welcomed questions and was eager to help you. Would be delighted to stay again and would definitely recommend this place to anyone looking for a great place to stay.,Real
24.0,"Overall, we love the Trump Hotel, in particular, the extra level of personal service by Frasier. He took the time and effort to say hello as well as being sincere in all his conversations with myself and my family.   The downsides to this trip were with the front desk staff. When we checked-in, we had to wait 1.5 hours after 3pm (~4:30pm local time) before our room was ready. When we finally checked in, the front desk said that a late check out would be no problem. So when I called for a late check out, esp. since we had to wait 1.5 hours when we checked in, they said that they could not accommodate the request. It was only after repeated requests and an explanation of our check-in experience that they only gave 1 hour. For this incident, I would say that the staff at the front",Real
25.0,"My room was smaller than I expected from the Trump brand, after staying at Trump Las Vegas. The layout was strange, and absent of good 'flow'. It was immaculately clean though, and I liked the shower vent and bathroom mirrors.",Real
26.0,"Toilet light not working, had to call twice to get it fixed. Drapes not closing 100%. Nespresso not working, pod stuck on the machine for idk how long - it's gross! Washroom though was almost spotless!",Real
27.0,Nothing compares to Trump tower. We can’t stay away! You get what you pay for. Pamper yourself and “get it right for romance & decadence!!” Mott 32...second to none! Reservations a must. How can food taste THAT good?,Real
28.0,"I stayed in room 1808. Room was spacious, magnificent views, and welcoming and friendly staff. Place was clean, bed comfy (although initially quite hard, I asked for a softer mattress and it seems they complied). Gigantic TV, somewhat noisy but acceptable aircondition, and a sophisticated “tablet-style” system for controlling room lighting, blinds, curtains e.t.c. Large shower.  Only underwhelming part was the gym, which is not that big and has a large selection of cardio machines, but only a few weight machines, no barbells (only dumbbells) and a no smith rack, all things I would expect at a hotel of this size.",Real
29.0,"This was our first time staying at the Trump  Towers and we were not disappointed.  Staff was amazing very professional and accommodating.  Room was amazing with many extra details.  Fine china for coffee, heated floors and much more.",Real
30.0,"Our first trip to Vancouver and the staff at the Trump Hotel were extremely friendly and their service was above and beyond. They treat everyone like a VIP and the room we stayed in was clean, modern and first class. The valet guys even drew us a map to visit Whistler, which we did and it was an awesome experience. First Rate Hotel. You will not be disappointed.",Real
31.0,"We stay at different hotels when we come to Vancouver to visit family. I have been spoiled and won’t stay at any other hotel Classy, clean modern hotel.  Service was excellent in the Champagne lounge.  Our 2 queen bedroom with wood flooring was spacious with all the high end touches. Electric drapes and shades to the touch screen lights.  The vanity in the tile washroom, has 2 sinks.  Nice size glass shower, and closet toilet for privacy. In room nespresso machine with China tea cups! I can’t wait for my next trip to Vancouver to stay at the Trump hotel.",Real
32.0,from arrival to checkin to departure all staff were friendly and courteous.  When car was brought on departure they asked if we wanted water and asked to take the old bottle in the cup holder for recycling.  Room had automatic controls for lighting and shades with day and night settings.  A wonderful stay and we will be back.,Real
33.0,I stayed here overnight on business and enjoyed my stay.  This is a great hotel with nice rooms and excellent service.  The food I ate at the hotel was also excellent.  My only complaint is that the rooms are all fairly low down as the top half of the tower is made up of condos.  This limits the views.  I need a new place to stay with my family now that the 4S is closing.  I will bring them here next time we come to town but need to figure out the best room setup for this.,Real
34.0,Good service is important. Great service is rare. This staff works under the latter banner and each interaction impressed. The facility is awesome. My room was not huge (not New York small) but was more than adequate and was well appointed. No problem recommending this quality property and team to be your hosts.,Real
35.0,"This was our first day at a Trump property and it won’t be the last .  Staff and service here was impeccable . That is exactly what you would expect from a high-end property .  It is an odd entry situation if you come in off Georgia Street you have to walk through the restaurant down to the lobby or otherwise you go around the back and enter in with your car into an alley that takes you to the lobby .  The room was very chic and modern and  minimalistic and  very nicely designed however ours was on the small side.   The bed was very comfortable everything in the room seems to be very well thought out, nice espresso coffee machine .  Very nice shower and bathroom setting with two sinks .  Love the whole digital set up for your curtains lighting etc. nice big screen TV   Highly",Real
36.0,"Arrived near midnight but staff was in high gear in every way.  Room, food, service top of the line.  Not only that, but my wife liked the pillows so much we inquired about purchasing two of them and Mr. David Lall, Director of Guest Services came to the front desk and had us set up for purchase and home delivery within minutes.  He made sure they weren't shipped too soon so they would get here after we arrived back home. It all made for a great way to start out Alaska Cruise.",Real
